Price	Age	Bred	Angus	Frame	Weight	Cond	Registered
1000	3	1	1	1	10.15	1	0
1250	3	1	1	1	11.00	1	0
980	5	1	0	0	11.15	1	0
1015	4	0	1	0	11.00	1	0
995	5	1	0	1	10.00	0	0
825	7	1	0	0	9.80	0	0
850	6	1	0	0	10.25	0	1
1150	2	1	1	0	10.50	1	1
1150	2	1	1	1	10.75	1	1
1200	3	1	1	1	11.75	1	0
1200	2	1	1	1	11.60	1	0
1000	6	1	1	0	11.00	1	0
1000	7	0	1	0	10.00	0	0
1050	6	1	0	0	10.00	0	1
1075	4	1	1	1	9.90	0	1
1165	5	1	1	0	11.35	1	0
780	2	0	1	0	8.85	0	0
800	2	0	1	0	9.50	0	1
1180	3	0	0	1	11.45	1	1
1000	4	0	0	1	11.45	0	1
1200	2	1	0	1	11.50	1	1
1000	3	1	1	0	10.00	1	0
1025	3	1	1	0	9.75	1	0
1175	2	0	1	1	11.35	1	1
800	5	1	0	0	12.00	1	0
915	4	0	1	0	11.85	1	1
1185	6	1	1	1	12.00	0	0
1020	5	1	1	0	11.25	0	0
775	7	1	1	0	12.00	1	0
850	7	1	0	1	12.00	1	1
1200	2	1	1	0	10.00	1	1
1200	3	1	1	0	10.15	1	1
775	8	1	0	0	12.50	1	0
775	7	1	0	0	11.85	1	0
1200	3	1	0	1	11.85	0	1
1135	4	1	0	0	12.00	1	0
1000	7	1	0	0	11.50	1	0
1185	3	0	0	1	12.00	0	1
1155	3	1	0	0	11.85	1	0
1155	2	0	0	1	12.00	1	1
1175	2	1	1	1	11.75	1	0
1200	2	1	0	1	11.50	1	0
1165	3	1	1	0	11.65	1	0
1000	6	1	1	0	12.25	1	0
1200	2	0	1	1	10.25	0	0
1175	2	1	0	0	10.25	0	1
1000	5	0	0	0	10.00	0	1
1125	5	0	0	0	10.00	1	0
1150	4	1	1	1	12.25	1	0
1125	2	0	0	1	11.25	1	1
875	6	0	0	0	10.00	0	0
1000	6	1	0	1	11.25	0	0
1185	3	1	1	0	10.00	0	0
1185	4	1	1	0	10.00	1	1
1000	4	1	1	0	11.00	1	0
950	4	1	1	1	10.25	0	0
875	6	1	0	0	11.25	1	0
775	6	0	0	0	10.15	0	0
1100	2	0	1	0	9.85	0	1
1125	2	0	1	0	10.35	1	1
1200	2	0	0	0	10.65	1	1
1175	4	1	1	1	12.30	1	0
1000	4	1	0	1	11.75	0	0
1000	3	1	0	1	11.85	0	0
1000	6	1	1	0	11.25	0	0
1000	6	1	0	1	11.25	1	0
985	5	0	1	0	10.50	0	0
1150	3	1	1	0	11.75	1	1
1150	4	1	1	0	11.50	1	0
1075	7	1	0	0	11.45	1	0
1050	6	0	0	0	11.50	0	0
885	6	0	0	0	10.00	0	0
1200	4	1	1	1	11.50	1	1
1150	3	1	1	0	11.50	1	1
1000	4	1	0	0	10.85	0	0
1075	2	1	1	0	10.85	0	1
980	4	0	0	0	12.50	1	0
980	3	0	0	0	12.45	1	0
1000	6	1	1	1	12.00	1	0
1085	3	1	0	0	11.25	1	0
1175	5	1	0	0	11.55	1	0
1150	5	1	0	1	11.15	0	1
1175	3	1	0	0	11.15	1	0
1000	2	0	1	0	10.00	1	0
875	7	1	1	1	11.65	1	0
995	5	1	1	1	11.55	1	1
1000	3	1	1	1	10.15	1	1
1250	3	1	1	1	11.00	1	1
1150	2	1	0	1	11.00	1	0
1150	5	1	0	1	10.85	1	0
1200	5	1	0	1	10.95	1	1
980	8	1	1	0	12.75	1	0
995	3	0	0	0	10.00	0	0
1000	3	1	1	1	10.35	1	0
1165	3	1	0	1	10.35	1	0
1175	5	0	1	0	11.25	1	1
1000	6	1	1	1	11.20	1	0
775	5	0	1	1	10.00	0	0
1000	3	1	1	1	11.65	1	0
1015	4	1	0	1	11.50	1	0
1200	4	1	1	1	11.50	1	0
1175	6	1	1	1	11.75	1	1
1095	4	0	1	1	11.75	1	0
1100	3	1	1	0	12.35	1	1
980	3	0	0	0	10.00	0	0
1110	5	0	1	1	10.35	0	0
1200	2	1	1	1	11.00	1	0
1185	4	0	1	1	11.25	1	0
1185	3	0	1	0	11.00	1	0
1170	4	0	1	0	11.25	1	0
1150	3	1	0	0	11.10	1	0
1000	4	1	1	1	11.00	1	1
975	6	1	0	0	10.00	0	0
1200	4	0	1	0	11.00	1	0
1185	3	1	1	0	11.00	1	0
